N        | Sparsity   | Structure    | Op         | Time (s)   | Mem (Bytes)
--------------------------------------------------------------------------------
100      | 0.01       | Hash+Lista   | Create     | 0.000544   | 119773    
100      | 0.01       | Hash+Lista   | Sum        | 0.000923   | -         
100      | 0.01       | Hash+Lista   | Escalar    | 0.000409   | -         
100      | 0.01       | Hash+Lista   | Transp     | 0.000002   | -         
100      | 0.01       | Hash+Lista   | Mult       | 0.001052   | -         
100      | 0.01       | BinTree      | Create     | 0.001473   | 27586     
100      | 0.01       | BinTree      | Sum        | 0.004722   | -         
100      | 0.01       | BinTree      | Escalar    | 0.000133   | -         
100      | 0.01       | BinTree      | Transp     | 0.000004   | -         
100      | 0.01       | BinTree      | Mult       | 0.004793   | -         
100      | 0.01       | Dense        | Create     | 0.000277   | 86520     
100      | 0.01       | Dense        | Sum        | 0.001293   | -         
100      | 0.05       | Hash+Lista   | Create     | 0.001758   | 263877    
100      | 0.05       | Hash+Lista   | Sum        | 0.004635   | -         
100      | 0.05       | Hash+Lista   | Escalar    | 0.001597   | -         
100      | 0.05       | Hash+Lista   | Transp     | 0.000004   | -         
100      | 0.05       | Hash+Lista   | Mult       | 0.009772   | -         
100      | 0.05       | BinTree      | Create     | 0.017013   | 123814    
100      | 0.05       | BinTree      | Sum        | 0.018890   | -         
100      | 0.05       | BinTree      | Escalar    | 0.000368   | -         
100      | 0.05       | BinTree      | Transp     | 0.000003   | -         
100      | 0.05       | BinTree      | Mult       | 0.078530   | -         
100      | 0.05       | Dense        | Create     | 0.000304   | 86520     
100      | 0.05       | Dense        | Sum        | 0.001103   | -         
100      | 0.1        | Hash+Lista   | Create     | 0.003278   | 443645    
100      | 0.1        | Hash+Lista   | Sum        | 0.006395   | -         
100      | 0.1        | Hash+Lista   | Escalar    | 0.004461   | -         
100      | 0.1        | Hash+Lista   | Transp     | 0.000003   | -         
100      | 0.1        | Hash+Lista   | Mult       | 0.029728   | -         
100      | 0.1        | BinTree      | Create     | 0.048581   | 243734    
100      | 0.1        | BinTree      | Sum        | 0.042997   | -         
100      | 0.1        | BinTree      | Escalar    | 0.000529   | -         
100      | 0.1        | BinTree      | Transp     | 0.000002   | -         
100      | 0.1        | BinTree      | Mult       | 0.399364   | -         
100      | 0.1        | Dense        | Create     | 0.000609   | 86520     
100      | 0.1        | Dense        | Sum        | 0.001390   | -         
100      | 0.2        | Hash+Lista   | Create     | 0.009612   | 802053    
100      | 0.2        | Hash+Lista   | Sum        | 0.015881   | -         
100      | 0.2        | Hash+Lista   | Escalar    | 0.007006   | -         
100      | 0.2        | Hash+Lista   | Transp     | 0.000006   | -         
100      | 0.2        | Hash+Lista   | Mult       | 0.116984   | -         
100      | 0.2        | BinTree      | Create     | 0.075797   | 483654    
100      | 0.2        | BinTree      | Sum        | 0.079566   | -         
100      | 0.2        | BinTree      | Escalar    | 0.001495   | -         
100      | 0.2        | BinTree      | Transp     | 0.000002   | -         
100      | 0.2        | BinTree      | Mult       | 1.340712   | -         
100      | 0.2        | Dense        | Create     | 0.000915   | 86520     
100      | 0.2        | Dense        | Sum        | 0.001387   | -         
1000     | 0.01       | Hash+Lista   | Create     | 0.040697   | 3598405   
1000     | 0.01       | Hash+Lista   | Sum        | 0.087980   | -         
1000     | 0.01       | Hash+Lista   | Escalar    | 0.053342   | -         
1000     | 0.01       | Hash+Lista   | Transp     | 0.000004   | -         
1000     | 0.01       | Hash+Lista   | Mult       | SKIP       | -         
1000     | 0.01       | BinTree      | Create     | 0.445153   | 2822678   
1000     | 0.01       | BinTree      | Sum        | 0.501637   | -         
