N;Sparsity;Structure;Operation;Time (s);Memory (Bytes)
100;0,01;Hash+Lista;Create;0,000544;119773
100;0,01;Hash+Lista;Sum;0,000923;119773
100;0,01;Hash+Lista;Escalar;0,000409;119773
100;0,01;Hash+Lista;Transp;2e-06;119773
100;0,01;Hash+Lista;Mult;0,001052;119773
100;0,01;BinTree;Create;0,001473;27586
100;0,01;BinTree;Sum;0,004722;27586
100;0,01;BinTree;Escalar;0,000133;27586
100;0,01;BinTree;Transp;4e-06;27586
100;0,01;BinTree;Mult;0,004793;27586
100;0,01;Dense;Create;0,000277;86520
100;0,01;Dense;Sum;0,001293;86520
100;0,05;Hash+Lista;Create;0,001758;263877
100;0,05;Hash+Lista;Sum;0,004635;263877
100;0,05;Hash+Lista;Escalar;0,001597;263877
100;0,05;Hash+Lista;Transp;4e-06;263877
100;0,05;Hash+Lista;Mult;0,009772;263877
100;0,05;BinTree;Create;0,017013;123814
100;0,05;BinTree;Sum;0,01889;123814
100;0,05;BinTree;Escalar;0,000368;123814
100;0,05;BinTree;Transp;3e-06;123814
100;0,05;BinTree;Mult;0,07853;123814
100;0,05;Dense;Create;0,000304;86520
100;0,05;Dense;Sum;0,001103;86520
100;0,1;Hash+Lista;Create;0,003278;443645
100;0,1;Hash+Lista;Sum;0,006395;443645
100;0,1;Hash+Lista;Escalar;0,004461;443645
100;0,1;Hash+Lista;Transp;3e-06;443645
100;0,1;Hash+Lista;Mult;0,029728;443645
100;0,1;BinTree;Create;0,048581;243734
100;0,1;BinTree;Sum;0,042997;243734
100;0,1;BinTree;Escalar;0,000529;243734
100;0,1;BinTree;Transp;2e-06;243734
100;0,1;BinTree;Mult;0,399364;243734
100;0,1;Dense;Create;0,000609;86520
100;0,1;Dense;Sum;0,00139;86520
100;0,2;Hash+Lista;Create;0,009612;802053
100;0,2;Hash+Lista;Sum;0,015881;802053
100;0,2;Hash+Lista;Escalar;0,007006;802053
100;0,2;Hash+Lista;Transp;6e-06;802053
100;0,2;Hash+Lista;Mult;0,116984;802053
100;0,2;BinTree;Create;0,075797;483654
100;0,2;BinTree;Sum;0,079566;483654
100;0,2;BinTree;Escalar;0,001495;483654
100;0,2;BinTree;Transp;2e-06;483654
100;0,2;BinTree;Mult;1,340712;483654
100;0,2;Dense;Create;0,000915;86520
100;0,2;Dense;Sum;0,001387;86520
1000;0,01;Hash+Lista;Create;0,040697;3598405
1000;0,01;Hash+Lista;Sum;0,08798;3598405
1000;0,01;Hash+Lista;Escalar;0,053342;3598405
1000;0,01;Hash+Lista;Transp;4e-06;3598405
1000;0,01;Hash+Lista;Mult;;3598405
1000;0,01;BinTree;Create;0,445153;2822678
1000;0,01;BinTree;Sum;0,501637;2822678
1000;0,01;BinTree;Escalar;0,007869;2822678
1000;0,01;BinTree;Transp;3e-06;2822678
1000;0,01;BinTree;Mult;;2822678
1000;0,05;Hash+Lista;Create;0,342493;14718265
1000;0,05;Hash+Lista;Sum;0,820299;14718265
1000;0,05;Hash+Lista;Escalar;0,407801;14718265
1000;0,05;Hash+Lista;Transp;5e-06;14718265
1000;0,05;Hash+Lista;Mult;;14718265
1000;0,05;BinTree;Create;2,766822;14086658
1000;0,05;BinTree;Sum;3,042797;14086658
1000;0,05;BinTree;Escalar;0,042381;14086658
1000;0,05;BinTree;Transp;4e-06;14086658
1000;0,05;BinTree;Mult;;14086658
1000;0,1;Hash+Lista;Create;0,954961;28007261
1000;0,1;Hash+Lista;Sum;1,417939;28007261
1000;0,1;Hash+Lista;Escalar;0,815299;28007261
1000;0,1;Hash+Lista;Transp;5e-06;28007261
1000;0,1;Hash+Lista;Mult;;28007261
1000;0,1;BinTree;Create;5,982424;28167062
1000;0,1;BinTree;Sum;5,734461;28167062
1000;0,1;BinTree;Escalar;0,078796;28167062
1000;0,1;BinTree;Transp;4e-06;28167062
1000;0,1;BinTree;Mult;;28167062
1000;0,2;Hash+Lista;Create;2,94081;54560221
1000;0,2;Hash+Lista;Sum;3,736201;54560221
1000;0,2;Hash+Lista;Escalar;1,679666;54560221
1000;0,2;Hash+Lista;Transp;5e-06;54560221
1000;0,2;Hash+Lista;Mult;;54560221
1000;0,2;BinTree;Create;12,644084;56319998
1000;0,2;BinTree;Sum;11,397049;56319998
1000;0,2;BinTree;Escalar;0,169532;56319998
1000;0,2;BinTree;Transp;4e-06;56319998
1000;0,2;BinTree;Mult;;56319998
10000;1e-08;Hash+Lista;Create;9,9e-05;81333
10000;1e-08;Hash+Lista;Sum;0,000396;81333
10000;1e-08;Hash+Lista;Escalar;0,000196;81333
10000;1e-08;Hash+Lista;Transp;2e-06;81333
10000;1e-08;Hash+Lista;Mult;0,000433;81333
10000;1e-08;BinTree;Create;1,3e-05;1010
10000;1e-08;BinTree;Sum;1,8e-05;1010
10000;1e-08;BinTree;Escalar;4e-06;1010
10000;1e-08;BinTree;Transp;1e-06;1010
10000;1e-08;BinTree;Mult;5e-06;1010
10000;1e-07;Hash+Lista;Create;0,000114;85105
10000;1e-07;Hash+Lista;Sum;0,000392;85105
10000;1e-07;Hash+Lista;Escalar;0,000194;85105
10000;1e-07;Hash+Lista;Transp;2e-06;85105
10000;1e-07;Hash+Lista;Mult;0,00042;85105
10000;1e-07;BinTree;Create;9,5e-05;3758
10000;1e-07;BinTree;Sum;0,000123;3758
10000;1e-07;BinTree;Escalar;1e-05;3758
10000;1e-07;BinTree;Transp;2e-06;3758
10000;1e-07;BinTree;Mult;2e-05;3758
10000;1e-06;Hash+Lista;Create;0,000553;122301
10000;1e-06;Hash+Lista;Sum;0,000826;122301
10000;1e-06;Hash+Lista;Escalar;0,000473;122301
10000;1e-06;Hash+Lista;Transp;2e-06;122301
10000;1e-06;Hash+Lista;Mult;0,000736;122301
10000;1e-06;BinTree;Create;0,001484;30510
10000;1e-06;BinTree;Sum;0,001961;30510
10000;1e-06;BinTree;Escalar;4,1e-05;30510
10000;1e-06;BinTree;Transp;1e-06;30510
10000;1e-06;BinTree;Mult;0,000758;30510
100000;1e-09;Hash+Lista;Create;0,000106;85105
100000;1e-09;Hash+Lista;Sum;0,000391;85105
100000;1e-09;Hash+Lista;Escalar;0,000193;85105
100000;1e-09;Hash+Lista;Transp;2e-06;85105
100000;1e-09;Hash+Lista;Mult;0,000418;85105
100000;1e-09;BinTree;Create;0,000105;3758
100000;1e-09;BinTree;Sum;0,00013;3758
100000;1e-09;BinTree;Escalar;8e-06;3758
100000;1e-09;BinTree;Transp;1e-06;3758
100000;1e-09;BinTree;Mult;2e-05;3758
100000;1e-08;Hash+Lista;Create;0,000472;122545
100000;1e-08;Hash+Lista;Sum;0,001219;122545
100000;1e-08;Hash+Lista;Escalar;0,000437;122545
100000;1e-08;Hash+Lista;Transp;3e-06;122545
100000;1e-08;Hash+Lista;Mult;0,000937;122545
100000;1e-08;BinTree;Create;0,002533;30510
100000;1e-08;BinTree;Sum;0,003626;30510
100000;1e-08;BinTree;Escalar;6,6e-05;30510
100000;1e-08;BinTree;Transp;1e-06;30510
100000;1e-08;BinTree;Mult;0,001668;30510
100000;1e-07;Hash+Lista;Create;0,003495;489901
100000;1e-07;Hash+Lista;Sum;0,005904;489901
100000;1e-07;Hash+Lista;Escalar;0,0027;489901
100000;1e-07;Hash+Lista;Transp;3e-06;489901
100000;1e-07;Hash+Lista;Mult;0,004932;489901
100000;1e-07;BinTree;Create;0,02795;297022
100000;1e-07;BinTree;Sum;0,036107;297022
100000;1e-07;BinTree;Escalar;0,000396;297022
100000;1e-07;BinTree;Transp;1e-06;297022
100000;1e-07;BinTree;Mult;0,081553;297022
1000000;1e-10;Hash+Lista;Create;0,000383;122545
1000000;1e-10;Hash+Lista;Sum;0,000813;122545
1000000;1e-10;Hash+Lista;Escalar;0,000427;122545
1000000;1e-10;Hash+Lista;Transp;1,3e-05;122545
1000000;1e-10;Hash+Lista;Mult;0,002641;122545
1000000;1e-10;BinTree;Create;0,00406;30510
1000000;1e-10;BinTree;Sum;0,005894;30510
1000000;1e-10;BinTree;Escalar;0,000107;30510
1000000;1e-10;BinTree;Transp;2e-06;30510
1000000;1e-10;BinTree;Mult;0,002328;30510
1000000;1e-09;Hash+Lista;Create;0,008289;490717
1000000;1e-09;Hash+Lista;Sum;0,006675;490717
1000000;1e-09;Hash+Lista;Escalar;0,002696;490717
1000000;1e-09;Hash+Lista;Transp;3e-06;490717
1000000;1e-09;Hash+Lista;Mult;0,005009;490717
1000000;1e-09;BinTree;Create;0,024399;297022
1000000;1e-09;BinTree;Sum;0,027967;297022
1000000;1e-09;BinTree;Escalar;0,000397;297022
1000000;1e-09;BinTree;Transp;1e-06;297022
1000000;1e-09;BinTree;Mult;0,085161;297022
1000000;1e-08;Hash+Lista;Create;0,047234;3739273
1000000;1e-08;Hash+Lista;Sum;0,082534;3739273
1000000;1e-08;Hash+Lista;Escalar;0,054129;3739273
1000000;1e-08;Hash+Lista;Transp;4e-06;3739273
1000000;1e-08;Hash+Lista;Mult;0,069201;3739273
1000000;1e-08;BinTree;Create;0,356547;2961134
1000000;1e-08;BinTree;Sum;0,420941;2961134
1000000;1e-08;BinTree;Escalar;0,005496;2961134
1000000;1e-08;BinTree;Transp;3e-06;2961134
